model_role,checkpoint_path,checkpoint_sha256,training_kimg,sample_seed,generated_sample_hash,d1nn,d2nn,d1nn_reference_index,d2nn_reference_index,d1nn_over_d2nn,memorized,status,error
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20013,f58db8688024a312eeef4218d08a37aa7b81af31dc2552c64596ef4fb6d8c1a8,13.51700335512583,14.795937119841648,14410,13435,0.91356182752353399,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20014,1fc09eb255ea2e6971cc3356cd06f9079d373ead6a12e5ed0d8d40c6153175a4,16.561076154702747,17.719619774704853,22857,37887,0.93461803160946189,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20015,c80f11230db147fab7bc6019a1d1bb646a131a7964da9d9825a6edda104a0b09,17.436199743485425,18.54139505139829,20200,6715,0.94039308774506059,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20016,5342ff50f8b2186f9516054ffbb43e1876893c16dae703551277400a109defba,12.351678840922373,12.842679232149854,20051,16683,0.96176807172771794,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20017,edd90ca00c617bfa2a723970e427df5654f7b3c69f38fe29e0a5e122ed2141bf,10.238396794801501,25.478144983915076,8463,30085,0.40185016614299157,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20018,195cd6cd31bb0ea58306c3c8de1168c076b465d8ba1f89f7a1cfe9a7f9d90660,12.269121688533012,15.474147352369132,14410,13435,0.79287869044717207,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20019,8abb20f58e84f4c57c5f8d43d5f64ff97c250a64d90e9b4d46d6bf160d74d14f,12.023341020133557,15.271602760702299,13535,35588,0.78730053475936779,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20020,0599b244b52659426a6ac2fb00043f0610ddb01efaf923bf81fb7dcfc8bd3e78,14.358865938824048,14.552909997318251,9692,42808,0.98666630532794053,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20021,7f92ae82322cf8b8a85609a4d230b46a9030e4adee29d1680e760edd031b0b4d,14.176850109048672,17.259503851954133,49021,45591,0.82139383789085918,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20022,595d414b586caf7829700b29432db35786cc8bb8f86d9f76a9aeaf680247a65c,11.848782998671416,12.456322874252344,29779,39913,0.95122638665406356,0,ok,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,20023,ba6c40863837f3389c324a89cfed0ebbeddefc49477cfd585b5b8972b5d9974d,8.5852548851988608,22.52999176479015,16924,45385,0.38105894466485729,0,ok,
