experiment_id,run_id,model,split,sigma_index,sigma,sigma_grid,cutoff,band,n_images,n_repeats,mean_summed_squared_error,ci95_low_summed_squared_error,ci95_high_summed_squared_error,mean_per_element_mse,ci95_low_per_element_mse,ci95_high_per_element_mse,aggregation_status
experiment_05,e005_spectral_residual_curves,edm_1k,train,0,80,edm_18_rho7,3,full,1000,8,808.60484774824477,786.37688415132925,831.7545962752497,0.26321772387638176,0.25598205864301082,0.27075344930834949,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,0,80,edm_18_rho7,3,low_frequency_residual,1000,8,645.71835317979628,624.74807819737725,667.23210515259746,0.21019477642571494,0.20336851503820874,0.21719795089602781,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,0,80,edm_18_rho7,3,high_frequency_residual,1000,8,162.88649456844797,157.7928230181877,167.96943939256636,0.053022947450666658,0.051364851242899641,0.054677551885601028,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,1,57.58598472124816,edm_18_rho7,3,full,1000,8,792.11002732745533,770.12657157826345,813.78650611996898,0.25784831618732268,0.25069224335229928,0.26490446162759407,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,1,57.58598472124816,edm_18_rho7,3,low_frequency_residual,1000,8,629.7737900242962,610.28180658332099,649.52502991941446,0.2050044889402006,0.1986594422471748,0.21143392901022606,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,1,57.58598472124816,edm_18_rho7,3,high_frequency_residual,1000,8,162.33623730315861,157.2991836676978,167.46257711417016,0.052843827247121944,0.051204161350162043,0.054512557654352263,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,2,40.785573796507961,edm_18_rho7,3,full,1000,8,758.54183997012603,738.54628455878037,778.55803897263195,0.2469211718652754,0.24041220200481131,0.25343686164473694,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,2,40.785573796507961,edm_18_rho7,3,low_frequency_residual,1000,8,597.39654569900313,578.75803851488058,616.08808310244365,0.19446502138639424,0.18839779899572937,0.20054950621824338,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,2,40.785573796507961,edm_18_rho7,3,high_frequency_residual,1000,8,161.14529427112242,156.10979244830742,166.17706633060649,0.052456150478880997,0.050816989729266737,0.054094097112827637,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,3,28.374584604156844,edm_18_rho7,3,full,1000,8,708.18977452138222,689.15894898270051,727.17067279051014,0.23053052556034578,0.22433559537197281,0.23670920338232751,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,3,28.374584604156844,edm_18_rho7,3,low_frequency_residual,1000,8,548.9907631478078,533.23573061100444,565.45914251324155,0.17870793071217703,0.173579339391603,0.18406873128686249,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,3,28.374584604156844,edm_18_rho7,3,high_frequency_residual,1000,8,159.19901137357391,154.28297606674505,164.24946261097244,0.051822594848168591,0.050222322938393571,0.053466621943675928,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,4,19.352452980325229,edm_18_rho7,3,full,1000,8,655.00397460214026,638.99223814161212,670.95701089527859,0.2132174396491342,0.20800528585338937,0.21841048531747351,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,4,19.352452980325229,edm_18_rho7,3,low_frequency_residual,1000,8,497.04723750080774,483.51670411139963,510.5784296083973,0.16179923095729418,0.15739476045292958,0.16620391588815017,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,4,19.352452980325229,edm_18_rho7,3,high_frequency_residual,1000,8,157.95673710133215,153.12654971030628,163.04455980285113,0.051418208691839891,0.049845882067156989,0.053074400977490603,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,5,12.91008238075732,edm_18_rho7,3,full,1000,8,583.47169206443175,571.5138513656691,595.40776512965374,0.18993219142722387,0.18603966515809542,0.19381763187814249,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,5,12.91008238075732,edm_18_rho7,3,low_frequency_residual,1000,8,425.31704742820432,416.14781249358822,434.2467184268711,0.13844955970970194,0.13546478271275658,0.14135635365458044,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,5,12.91008238075732,edm_18_rho7,3,high_frequency_residual,1000,8,158.15464463622703,153.56299131613466,162.89397978289827,0.051482631717521821,0.049987952902387583,0.053025384043912195,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,6,8.4009353090998165,edm_18_rho7,3,full,1000,8,463.23423497070405,455.31230321696694,471.23983674398414,0.15079239419619272,0.14821364037010643,0.15339838435676567,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,6,8.4009353090998165,edm_18_rho7,3,low_frequency_residual,1000,8,317.53544454282917,311.98463308416427,323.18304738176448,0.1033644025204522,0.10155749774875139,0.10520281490291812,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,6,8.4009353090998165,edm_18_rho7,3,high_frequency_residual,1000,8,145.69879042787454,141.89960452091844,149.44566440584936,0.047427991675740411,0.046191277513319806,0.048647677215445752,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,7,5.3151945217963821,edm_18_rho7,3,full,1000,8,245.8826218802547,239.01408629236869,252.83995458354283,0.080039915976645407,0.077804064548297094,0.082304672715997021,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,7,5.3151945217963821,edm_18_rho7,3,low_frequency_residual,1000,8,155.25475247495393,150.60753703559226,159.90806908852224,0.050538656404607397,0.049025890962106855,0.052053407906419998,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,7,5.3151945217963821,edm_18_rho7,3,high_frequency_residual,1000,8,90.627869405300629,87.797127460301567,93.581830201256182,0.029501259572037964,0.028579794095150251,0.030462835351971414,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,8,3.2568215197655368,edm_18_rho7,3,full,1000,8,40.698060130459353,37.745354795509243,43.783557934871908,0.013248066448717238,0.012286899347496499,0.014252460265257783,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,8,3.2568215197655368,edm_18_rho7,3,low_frequency_residual,1000,8,22.681363127820301,20.92424249993903,24.431256122066902,0.0073832562265040043,0.0068112768554489033,0.0079528828522353202,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,8,3.2568215197655368,edm_18_rho7,3,high_frequency_residual,1000,8,18.01669700263902,16.698742460282226,19.336183539241329,0.0058648102222132225,0.0054357885612897868,0.0062943305791801204,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,9,1.9233398370400518,edm_18_rho7,3,full,1000,8,3.2205377222263971,3.0058399065013628,3.4647838794613652,0.0010483521231205719,0.00097846351123091237,0.0011278593357621632,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,9,1.9233398370400518,edm_18_rho7,3,low_frequency_residual,1000,8,1.2743868336792257,1.1622198302580806,1.4011268059081972,0.00041483946408828962,0.00037832676766213564,0.00045609596546490795,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,9,1.9233398370400518,edm_18_rho7,3,high_frequency_residual,1000,8,1.946150888547169,1.8341280771623005,2.0764111727091472,0.00063351265903228158,0.00059704690011793641,0.00067591509528292556,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,10,1.088170636545279,edm_18_rho7,3,full,1000,8,1.6778296223235976,1.6569757922673658,1.6984673347408421,0.00054616849685012938,0.00053938014071203317,0.00055288650219428458,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,10,1.088170636545279,edm_18_rho7,3,low_frequency_residual,1000,8,0.60136860255089863,0.59046844953271194,0.61243061548360189,0.00019575800864287066,0.00019220978174892966,0.00019935892431106832,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,10,1.088170636545279,edm_18_rho7,3,high_frequency_residual,1000,8,1.0764610197726978,1.0589863890073459,1.0933960502650797,0.00035041048820725842,0.00034472213183832872,0.00035592319344566396,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,11,0.58534812319454221,edm_18_rho7,3,full,1000,8,1.1405441566744814,1.1266728350526571,1.1549010125402632,0.00037127088433414106,0.00036675548016037014,0.00037594434001961692,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,11,0.58534812319454221,edm_18_rho7,3,low_frequency_residual,1000,8,0.42823834978396336,0.42152985887955752,0.43486159895566789,0.00013940050448696723,0.00013721675093735595,0.00014155651007671482,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,11,0.58534812319454221,edm_18_rho7,3,high_frequency_residual,1000,8,0.71230580689051726,0.7007319109636132,0.72365087407924555,0.00023187037984717359,0.00022810283560013452,0.00023556343557267108,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,12,0.29644228447915727,edm_18_rho7,3,full,1000,8,0.73718826720890174,0.72815405219535212,0.74642926961367118,0.0002399701390653977,0.00023702931386567451,0.00024297827786903359,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,12,0.29644228447915727,edm_18_rho7,3,low_frequency_residual,1000,8,0.29263450785342637,0.28874748853045068,0.2965355014074369,9.5258628858537226e-05,9.3993323089339414e-05,9.6528483531066703e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,12,0.29644228447915727,edm_18_rho7,3,high_frequency_residual,1000,8,0.44455375935547486,0.43742622331886061,0.45161613276285623,0.0001447115102068603,0.00014239134873660826,0.00014701045988374227,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,13,0.13951646873101678,edm_18_rho7,3,full,1000,8,0.41553545011436255,0.41048750910486148,0.42053270394328029,0.00013526544600076906,0.00013362223603673875,0.00013689215623153655,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,13,0.13951646873101678,edm_18_rho7,3,low_frequency_residual,1000,8,0.15663138254089076,0.15466130721558732,0.15863620780179472,5.0986778170862881e-05,5.0345477609240663e-05,5.1639390560480053e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,13,0.13951646873101678,edm_18_rho7,3,high_frequency_residual,1000,8,0.25890406757347156,0.25501709099651737,0.26274860631124142,8.4278667829906103e-05,8.3013375975428836e-05,8.5530145283607237e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,14,0.05994731123547159,edm_18_rho7,3,full,1000,8,0.23590656831905929,0.2329163730061837,0.23886048063538531,7.6792502708027108e-05,7.5819131837950428e-05,7.7754062706831157e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,14,0.05994731123547159,edm_18_rho7,3,low_frequency_residual,1000,8,0.070576445758822479,0.069769513459687973,0.071375406813725853,2.2974103437116691e-05,2.2711430162658847e-05,2.3234181905509717e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,14,0.05994731123547159,edm_18_rho7,3,high_frequency_residual,1000,8,0.16533012256023666,0.16286834238562806,0.16777547659430803,5.3818399270910373e-05,5.3017038536988302e-05,5.4614412953876311e-05,ok
experiment_05,e005_spectral_residual_curves,edm_1k,train,15,0.022934518372333384,edm_18_rho7,3,full,1000,8,0.13842857056876426,0.13661979660678056,0.14015483279797969,4.506138364868628e-05,4.4472590041269713e-05,4.5623317968092347e-05,ok
