experiment_id,image_id,split,checkpoint,trajectory,axis_name,axis_value,cutoff,seed,S_low,S_high
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.42000000,20.00000000,0,0.83141269,0.23132285
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.43000000,20.00000000,0,0.85384084,0.23398329
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.44000000,20.00000000,0,0.87500204,0.23625291
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.45000000,20.00000000,0,0.89479297,0.23816907
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.46000000,20.00000000,0,0.91310633,0.24063183
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.47000000,20.00000000,0,0.92982805,0.24450189
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.48000000,20.00000000,0,0.94483189,0.24975678
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.49000000,20.00000000,0,0.95796899,0.25637061
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.50000000,20.00000000,0,0.96904762,0.26431398
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.51000000,20.00000000,0,0.97780094,0.27355376
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.52000000,20.00000000,0,0.98388641,0.28405263
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.53000000,20.00000000,0,0.98715381,0.29576831
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.54000000,20.00000000,0,0.98829756,0.30865249
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.55000000,20.00000000,0,0.98863455,0.32264947
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.56000000,20.00000000,0,0.98888712,0.33769651
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.57000000,20.00000000,0,0.98913968,0.35372564
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.58000000,20.00000000,0,0.98939225,0.37066657
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.59000000,20.00000000,0,0.98964481,0.38844886
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.60000000,20.00000000,0,0.98989738,0.40700196
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.61000000,20.00000000,0,0.99014994,0.42625518
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.62000000,20.00000000,0,0.99040251,0.44613777
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.63000000,20.00000000,0,0.99065508,0.46657884
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.64000000,20.00000000,0,0.99090764,0.48750742
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.65000000,20.00000000,0,0.99116021,0.50885245
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.66000000,20.00000000,0,0.99141277,0.53054278
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.67000000,20.00000000,0,0.99166534,0.55250714
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.68000000,20.00000000,0,0.99191790,0.57467419
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.69000000,20.00000000,0,0.99217047,0.59697247
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.70000000,20.00000000,0,0.99242303,0.61933038
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.71000000,20.00000000,0,0.99267560,0.64167623
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.72000000,20.00000000,0,0.99292817,0.66393813
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.73000000,20.00000000,0,0.99318073,0.68604406
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.74000000,20.00000000,0,0.99343330,0.70792176
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.75000000,20.00000000,0,0.99368586,0.72949871
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.76000000,20.00000000,0,0.99393843,0.75070211
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.77000000,20.00000000,0,0.99419099,0.77145877
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.78000000,20.00000000,0,0.99444356,0.79169500
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.79000000,20.00000000,0,0.99469612,0.81133653
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.80000000,20.00000000,0,0.99494869,0.83030830
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.81000000,20.00000000,0,0.99520126,0.84853425
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.82000000,20.00000000,0,0.99545382,0.86593703
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.83000000,20.00000000,0,0.99570639,0.88243761
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.84000000,20.00000000,0,0.99595895,0.89795479
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.85000000,20.00000000,0,0.99621152,0.91240465
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.86000000,20.00000000,0,0.99646408,0.92570007
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.87000000,20.00000000,0,0.99671665,0.93775070
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.88000000,20.00000000,0,0.99696921,0.94846458
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.89000000,20.00000000,0,0.99722178,0.95775405
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.90000000,20.00000000,0,0.99747434,0.96555165
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.91000000,20.00000000,0,0.99772691,0.97184467
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.92000000,20.00000000,0,0.99797948,0.97673223
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.93000000,20.00000000,0,0.99823204,0.98048090
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.94000000,20.00000000,0,0.99848461,0.98351441
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.95000000,20.00000000,0,0.99873717,0.98628220
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.96000000,20.00000000,0,0.99898974,0.98902576
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.97000000,20.00000000,0,0.99924230,0.99176932
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.98000000,20.00000000,0,0.99949487,0.99451288
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,0.99000000,20.00000000,0,0.99974743,0.99725644
experiment_05,image_001,calibration,not_applicable,low_band_first,synthetic_recovery_progress,1.00000000,20.00000000,0,1.00000000,1.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.00000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.01000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.02000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.03000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.04000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.05000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.06000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.07000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.08000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.09000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.10000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.11000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.12000000,20.00000000,0,0.00000000,0.00000000
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.13000000,20.00000000,0,0.00000000,0.00607401
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.14000000,20.00000000,0,0.00000000,0.01548190
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.15000000,20.00000000,0,0.00000000,0.02559118
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.16000000,20.00000000,0,0.00000000,0.03632691
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.17000000,20.00000000,0,0.00000000,0.04761280
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.18000000,20.00000000,0,0.00000000,0.05937141
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.19000000,20.00000000,0,0.00000000,0.07152439
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.20000000,20.00000000,0,0.00000000,0.08399275
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.21000000,20.00000000,0,0.00000000,0.09669715
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.22000000,20.00000000,0,0.00000000,0.10955826
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.23000000,20.00000000,0,0.00000000,0.12249709
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.24000000,20.00000000,0,0.00000000,0.13543544
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.25000000,20.00000000,0,0.00000000,0.14829637
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.26000000,20.00000000,0,0.00000000,0.16100471
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.27000000,20.00000000,0,0.00000000,0.17348764
experiment_05,image_001,calibration,not_applicable,high_band_first,synthetic_recovery_progress,0.28000000,20.00000000,0,0.00000000,0.18567534
