scenario,source_image,frequency_radius,noise_seed,initial_per_band_noise_level,dc_excluded,progress,low_band_weight,high_band_weight,low_band_score,high_band_score,low_band_relative_error,high_band_relative_error
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.35000000,0.64800000,0.00000000,0.64608707,0.00000000,0.35391293,1.00062641
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.36000000,0.67654400,0.00000000,0.67455586,0.00000000,0.32544414,1.00060878
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.37000000,0.70451200,0.00000000,0.70243538,0.00000000,0.29756462,1.00059140
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.38000000,0.73180800,0.00000000,0.72962675,0.00000000,0.27037325,1.00057427
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.39000000,0.75833600,0.00000000,0.75603026,0.00000000,0.24396974,1.00055739
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.40000000,0.78400000,0.00000000,0.78154498,0.00000000,0.21845502,1.00054076
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.41000000,0.80870400,0.00000000,0.80606833,0.00000000,0.19393167,1.00052438
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.42000000,0.83235200,0.00000000,0.82949533,0.00000000,0.17050467,1.00050824
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.43000000,0.85484800,0.00000000,0.85171748,0.00000000,0.14828252,1.00049236
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.44000000,0.87609600,0.00000000,0.87262106,0.00000000,0.12737894,1.00047673
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.45000000,0.89600000,0.00000000,0.89208440,0.00000000,0.10791560,1.00046135
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.46000000,0.91446400,0.00118400,0.90997344,0.00073735,0.09002656,0.99926265
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.47000000,0.93139200,0.00467200,0.92613492,0.00423902,0.07386508,0.99576098
